,close,volume,boll_upper,expma_expma,ma_ma
2021-12-22 09:30:00,8.64,2178300.0,8.6815658,8.6250302,8.6152
2021-12-22 09:31:00,8.55,1618500.0,8.6824715,8.6178845,8.6122
2021-12-22 09:32:00,8.5,1387400.0,8.6883473,8.6066574,8.6084
2021-12-22 09:33:00,8.54,672567.0,8.6894847,8.6003091,8.6058
2021-12-22 09:34:00,8.55,956300.0,8.6898379,8.5955177,8.6036
2021-12-22 09:35:00,8.5,840100.0,8.6941564,8.5864208,8.6002
2021-12-22 09:36:00,8.54,877190.0,8.6945492,8.5819998,8.5978
2021-12-22 09:37:00,8.5,422400.0,8.6969969,8.5741903,8.5948
2021-12-22 09:38:00,8.49,467400.0,8.6999594,8.5661722,8.592
2021-12-22 09:39:00,8.46,1005940.0,8.7050256,8.5560605,8.5886
2021-12-22 09:40:00,8.53,626289.0,8.7049987,8.5535786,8.5866
2021-12-22 09:41:00,8.5,639265.0,8.7051513,8.5484758,8.5834
2021-12-22 09:42:00,8.49,524300.0,8.7046996,8.5429067,8.5804
2021-12-22 09:43:00,8.49,454400.0,8.7053672,8.537868,8.5776
2021-12-22 09:44:00,8.45,946446.0,8.7083413,8.5294996,8.574
2021-12-22 09:45:00,8.46,835354.0,8.7100793,8.5228806,8.5712
2021-12-22 09:46:00,8.44,609062.0,8.7108253,8.5149872,8.568
2021-12-22 09:47:00,8.5,644000.0,8.7087488,8.5135599,8.5658
2021-12-22 09:48:00,8.52,731900.0,8.7056606,8.5141732,8.5642
2021-12-22 09:49:00,8.57,384530.0,8.7012875,8.51949,8.5632
2021-12-22 09:50:00,8.51,666670.0,8.6934008,8.5185862,8.5608
2021-12-22 09:51:00,8.5,319520.0,8.6762889,8.5168161,8.5588
2021-12-22 09:52:00,8.49,213780.0,8.6630058,8.5142622,8.5572
2021-12-22 09:53:00,8.45,354900.0,8.6424461,8.508142,8.5548
2021-12-22 09:54:00,8.46,321500.0,8.6171843,8.503557,8.553
2021-12-22 09:55:00,8.45,363800.0,8.5926571,8.4984564,8.5506
2021-12-22 09:56:00,8.4,843246.0,8.5736613,8.4890796,8.5472
2021-12-22 09:57:00,8.37,732354.0,8.5770375,8.4777387,8.5432
2021-12-22 09:58:00,8.39,585400.0,8.5802723,8.4693826,8.5398
2021-12-22 09:59:00,8.42,529200.0,8.5757325,8.4646795,8.537
2021-12-22 10:00:00,8.39,461700.0,8.5708807,8.4575672,8.533
2021-12-22 10:01:00,8.36,773400.0,8.5740101,8.4482751,8.5282
2021-12-22 10:02:00,8.37,466500.0,8.5695445,8.4408203,8.5238
2021-12-22 10:03:00,8.33,671000.0,8.5729193,8.430266,8.5186
2021-12-22 10:04:00,8.31,586300.0,8.5774971,8.4188121,8.5134
2021-12-22 10:05:00,8.32,274600.0,8.5810197,8.4094014,8.508
2021-12-22 10:06:00,8.3,707400.0,8.5777788,8.3989822,8.502
2021-12-22 10:07:00,8.28,1510900.0,8.5782562,8.3876506,8.4962
2021-12-22 10:08:00,8.27,496300.0,8.5785759,8.3764458,8.4902
2021-12-22 10:09:00,8.29,349600.0,8.5750537,8.3682128,8.4848
2021-12-22 10:10:00,8.27,352200.0,8.5755764,8.3588592,8.4784
2021-12-22 10:11:00,8.27,377700.0,8.5737673,8.3503964,8.4722
2021-12-22 10:12:00,8.27,385800.0,8.5724618,8.3427396,8.4658
2021-12-22 10:13:00,8.3,359000.0,8.5618274,8.3386692,8.4594
2021-12-22 10:14:00,8.33,171000.0,8.5460972,8.3378436,8.4534
2021-12-22 10:15:00,8.33,518800.0,8.517566,8.3370966,8.4464
2021-12-22 10:16:00,8.3,369400.0,8.4990847,8.3335636,8.4394
2021-12-22 10:17:00,8.32,195700.0,8.4799112,8.3322718,8.4322
2021-12-22 10:18:00,8.33,362200.0,8.4604256,8.3320554,8.4252
2021-12-22 10:19:00,8.34,177900.0,8.447661,8.3328121,8.4188
2021-12-22 10:20:00,8.3,400700.0,8.4303227,8.3296871,8.412
2021-12-22 10:21:00,8.32,307600.0,8.4127013,8.3287645,8.4074
2021-12-22 10:22:00,8.34,93900.0,8.4052492,8.3298346,8.4042
2021-12-22 10:23:00,8.32,392500.0,8.4011229,8.3288979,8.3998
2021-12-22 10:24:00,8.34,231200.0,8.394619,8.3299553,8.3956
2021-12-22 10:25:00,8.34,272500.0,8.3801102,8.3309119,8.3924
2021-12-22 10:26:00,8.32,308700.0,8.369994,8.3298727,8.388
2021-12-22 10:27:00,8.34,129946.0,8.36711,8.3308372,8.3848
2021-12-22 10:28:00,8.39,331100.0,8.3716898,8.3364717,8.3828
2021-12-22 10:29:00,8.34,255700.0,8.3726446,8.3368078,8.3804
